date,TreeID,sfd,q025,q975
2007-03-31,2,6.758603407482779,3.7685181722442396,10.71648885112573
2007-03-31,4,7.009866506116309,3.94252110462661,10.90425256801486
2007-04-01,2,6.414964827839946,3.5850957675013024,10.044504692072934
2007-04-01,4,5.137021513844153,2.816420117694058,8.262882866804672
2007-04-02,2,2.223313294632659,1.1227959385590376,4.012648082214719
2007-04-02,4,1.905769974376387,0.9365000817470893,3.5750326278132136
2007-04-03,2,4.793983019081963,2.6379671317837,7.7194679868293665
2007-04-03,4,5.019242745366039,2.823749090878743,7.789083963124537
2007-04-04,2,4.983019934362481,2.734796633113061,8.06156291431291
2007-04-04,4,5.197086318543974,2.930386360757591,8.044868373477968
2007-04-05,2,4.680614444233045,2.559929968926222,7.627302289209795
2007-04-05,4,5.535279937124682,3.1589768776367615,8.398444414587095
2007-04-05,6,10.952514994155466,6.403553754832613,15.865614239604424
2007-04-06,2,4.4105201328169,2.4111084698365106,7.194528305231053
2007-04-06,4,5.603849944488677,3.14120940739647,8.753013637875965
2007-04-06,6,7.6392065310871855,4.385583693360141,11.383801851848471
2007-04-07,2,4.226829883338888,2.313749090829405,6.887062023475003
2007-04-07,4,5.562758290942112,3.1630517279832246,8.488484679309954
2007-04-07,6,6.255485811887454,3.54366127790361,9.563103416275004
2007-04-08,2,4.477650243360932,2.4470203029140976,7.305193521137205
2007-04-08,4,5.6158151029722125,3.1887283054582802,8.584560112730873
2007-04-08,6,6.030332270437855,3.4792345904470303,8.945384083735888
2007-04-09,2,4.648824775029767,2.534068956746987,7.610486152703434
2007-04-09,4,5.234863409973096,2.9409237948840214,8.158420483030882
2007-04-09,6,5.8291173087804244,3.3448346528620974,8.738246765190286
2007-04-10,2,2.8053315094361726,1.4067695862387524,5.111653307133079
2007-04-10,4,2.733544096362506,1.3547202775383718,5.049993955839029
2007-04-10,6,5.573517732272584,3.1767235711473005,8.464371613174858
2007-04-11,2,3.9659963725921594,2.1917080774597624,6.359932701795852
2007-04-11,4,4.181871002520414,2.2948945322900807,6.767788926150257
2007-04-11,6,3.007465175434725,1.5179390076514478,5.437904418082554
2007-04-12,2,2.835172670093291,1.4726124465746768,4.965096802557347
2007-04-12,4,2.9020961916283943,1.4911735490798579,5.152844943351817
2007-04-12,6,4.64771495165982,2.5969161128043297,7.295522525724292
2007-04-13,2,4.686567545280388,2.554485935914859,7.668519971019055
2007-04-13,4,4.9228217316573195,2.7260443096469613,7.844334060396955
2007-04-13,6,3.7116958440499728,1.9578859149804098,6.366822249370825
2007-04-14,2,4.0280723003896854,2.1654398838177227,6.731907195208613
2007-04-14,4,4.642004087437318,2.586338643300048,7.338377082945034
2007-04-14,6,5.586697110461908,3.139808183664038,8.67005837119786
2007-04-15,2,0.7487143291417763,0.22349114110154877,2.0380810457526337
2007-04-15,4,1.2592059552510224,0.4882490094950194,2.876686050307705
2007-04-15,6,5.039446544553046,2.8348659737406527,7.826147877060055
2007-04-16,2,4.169836336506556,2.2678810081861465,6.859297485693597
2007-04-16,4,4.974528124514059,2.766471227382726,7.879910619032519
2007-04-16,6,1.310126952809215,0.5207602910962649,2.9395640558017337
2007-04-17,2,3.9518002652346227,2.1402224622610837,6.541971526264483
2007-04-17,4,4.842410442295804,2.69231502097379,7.683881572853708
2007-04-17,6,5.17673237207846,2.915623565188628,8.027030506547023
2007-04-18,2,4.102393707938025,2.2044865047797453,6.860328778424993
2007-04-18,4,4.711406800634141,2.5990384982672934,7.571846337144706
2007-04-18,6,5.179233866276262,2.9133322420281758,8.057287063937626
2007-04-19,2,3.909922162847667,2.1202477767989287,6.460944729050309
2007-04-19,4,4.374412641744027,2.384412268318532,7.166373457842912
