DRAIN,INFEXP,IDEPTH_m,ALB,RSSA,ths,ksat,CINTRL,FRINTLAI,GLMAX,CVPD,R5,T1,T2,PSICR,FXYLEM,MXKPL,MXRTLN,MAXROOTDEPTH,BETAROOT
0.7873,0.48138000000000003,0.48734000000000005,0.292545,595.6273,1.1132900000000001,0.12935,0.100455,0.13489,0.0197425,1.57995,298.98,11.8482,30.9035,-1.1473499999999999,0.71505,18.8335,1599.35,-1.53316,0.976615
0.6045,0.38382,0.45134,0.213105,127.68849999999999,1.1649500000000002,-0.09015000000000001,0.34836500000000004,0.16403,0.016931500000000002,2.48985,240.57999999999998,10.918199999999999,31.0205,-1.41765,0.69045,15.5935,1112.45,-1.0702,0.979075
0.5487,0.42402,0.7309400000000001,0.196395,74.2577,1.36559,0.04655000000000001,0.250475,0.15689,0.017855500000000003,1.9570500000000002,164.42000000000002,10.4214,22.7255,-1.1694499999999999,0.79285,10.5055,2176.25,-1.27732,0.995525
0.5471,0.6793800000000001,0.4323800000000001,0.270435,105.64529999999999,1.18907,0.19975,0.633455,0.17151,0.0102805,2.74815,213.34,11.745000000000001,29.301499999999997,-1.07135,0.63505,10.6525,2651.4500000000003,-1.3798,0.9653849999999999
0.4869,0.70458,0.6290600000000002,0.20377499999999998,531.7739,1.17377,0.20565000000000003,0.731475,0.19559,0.013877500000000001,2.31075,253.38,7.6986,33.411500000000004,-1.43905,0.60865,24.398500000000002,2033.15,-1.3342,0.956955
0.7001000000000001,0.5781000000000001,0.64022,0.268845,185.31230000000002,1.25333,0.24175,0.129575,0.13113000000000002,0.0229105,2.7691500000000002,241.9,11.790600000000001,30.8645,-1.34905,0.41685,11.6575,970.25,-1.12228,0.983135
0.3191,0.5321400000000001,0.7267400000000002,0.206505,449.47130000000004,1.38533,0.05865000000000001,0.4678350000000001,0.18455000000000002,0.014252500000000001,1.9555500000000001,247.14000000000001,7.9878,29.5265,-1.26735,0.71575,18.7255,2151.05,-1.47316,0.980815
0.2711,0.33942,0.56066,0.288885,351.8343,1.11023,0.33365,0.624875,0.17245,0.0142435,1.78695,164.78,11.007,26.886499999999998,-1.02565,0.58885,22.1005,1711.85,-1.8718000000000001,0.950225
0.1467,0.73986,0.2669,0.191925,392.6861,1.28741,0.35855000000000004,0.174685,0.17935,0.0119515,1.58715,211.86,10.019400000000001,24.1985,-1.39555,0.58935,15.6235,2997.05,-1.8245200000000001,0.959495
0.8075,0.40362,0.58958,0.289845,182.6767,1.3436299999999999,0.19915000000000002,0.590945,0.13641,0.0140845,2.93265,293.74,10.6482,21.7475,-1.12385,0.77965,22.8535,3788.15,-1.76356,0.971785
