DRAIN,INFEXP,IDEPTH_m,RSSA,ths1,ksat1,ths2,ksat2,ths3,ksat3,FRINTLAI,GLMAX,CVPD,R5,PSICR,FXYLEM,MXKPL,MXRTLN,MAXROOTDEPTH,BETAROOT
0.14828000000000002,0.81958,0.41275,347.4125,1.101935,0.06333250000000001,1.284665,0.35862000000000005,1.438335,0.19511,0.17502500000000001,0.00800875,2.41445,180.334,-1.0220375,0.439025,16.0364,2098.625,-1.21865,0.96919565
0.36844,0.81534,0.59561,224.2375,1.269785,0.35758750000000006,1.305965,0.39158000000000004,1.437525,0.23419,0.139715,0.00954925,2.46165,191.042,-1.1815375,0.359475,17.2964,3485.075,-1.48875,0.97722815
0.63668,0.7683800000000001,0.56697,283.4625,1.357895,0.023942499999999978,1.305125,0.36610000000000004,1.368185,0.11393,0.13204500000000002,0.00923775,2.11305,180.286,-1.0081375,0.6873750000000001,18.4884,2210.225,-1.00185,0.97100955
0.75156,0.7688600000000001,0.44319000000000003,285.9875,1.254485,-0.1263375,1.272675,0.35402,1.356795,0.29211,0.154335,0.00999875,2.4705500000000002,173.61,-1.2015125,0.659825,19.8332,1887.575,-1.81595,0.97577635
0.75244,0.53862,0.50673,217.96249999999998,1.106435,0.3828075000000001,1.294665,0.19642000000000004,1.426165,0.21271,0.131165,0.00861775,1.85305,160.398,-1.2063125,0.409575,14.1724,4657.325,-1.89245,0.97150595
0.87732,0.74698,0.46965,244.3875,1.227455,0.3838475000000001,1.348205,0.1119,1.415245,0.21861000000000003,0.18382500000000002,0.010135749999999999,2.4406499999999998,193.358,-1.1183875,0.45082500000000003,16.11,3372.125,-1.32155,0.9758392499999999
0.70572,0.58158,0.41337,365.63750000000005,1.191125,0.3811175000000001,1.345955,0.30666000000000004,1.419755,0.24029,0.146575,0.00889725,1.55125,177.73,-1.1212625,0.5261750000000001,13.874,1322.825,-1.99915,0.97387915
0.24628000000000003,0.53714,0.49261,386.5625,1.292105,0.3728625000000001,1.315595,0.06514,1.385745,0.22733,0.138685,0.00857525,1.62395,185.61,-1.2120125,0.5383249999999999,17.4332,2057.2250000000004,-1.71675,0.96845445
0.38124,0.85726,0.52945,170.0625,1.271855,0.30311750000000004,1.2573050000000001,0.34558,1.411965,0.25551,0.119955,0.01031225,1.97665,162.982,-1.1957625,0.631625,12.7228,1074.875,-1.57365,0.97478015
0.61012,0.7846200000000001,0.45055,163.6625,1.215545,0.3965225,1.289615,0.13818000000000003,1.402565,0.13867000000000002,0.185175,0.01124625,1.8649499999999999,170.682,-1.0812625,0.428475,16.377200000000002,4095.275,-1.70865,0.97032785
0.7882000000000001,0.5424599999999999,0.43589,234.7625,1.373435,0.23044750000000008,1.344205,0.12650000000000003,1.438425,0.16443,0.103395,0.00866125,1.71545,170.89,-1.2477375,0.650675,14.6236,1267.925,-1.87135,0.96558145
0.54388,0.77566,0.53799,376.2125,1.3568449999999999,0.07886750000000003,1.323375,0.06638000000000001,1.432215,0.27967,0.180645,0.01207675,1.58685,193.79399999999998,-1.1802375,0.633575,14.2804,2359.625,-1.0307499999999998,0.9794568499999999
0.18812,0.75474,0.59381,177.8125,1.227485,-0.06952749999999999,1.260015,0.29874,1.388045,0.19395,0.17506500000000003,0.01275225,1.70105,199.546,-1.1331625,0.369325,14.8836,1939.325,-1.72455,0.96657595
0.8698800000000001,0.8587,0.44267,374.0375,1.341845,0.21757750000000003,1.2962150000000001,0.38266,1.352265,0.14361000000000002,0.12560500000000002,0.01036425,2.00895,175.194,-1.1273374999999999,0.733225,15.214,3292.925,-1.62825,0.97210265
0.39236000000000004,0.71162,0.48601,244.03750000000002,1.166285,-0.1704725,1.337145,0.30818000000000006,1.396275,0.28823,0.183655,0.01144675,1.75835,166.102,-1.2332875,0.618275,13.8748,3458.075,-1.89885,0.97246815
0.83372,0.8899,0.49225,210.9875,1.186805,0.3231375000000001,1.275055,0.12738000000000002,1.352475,0.24677,0.159615,0.00851475,1.64495,176.954,-1.2255125,0.413325,19.09,3931.0250000000005,-1.75805,0.97183405
0.62196,0.8031,0.57193,272.88750000000005,1.366235,-0.08434749999999999,1.282445,0.11722000000000002,1.419115,0.16119,0.17713500000000001,0.012397249999999999,1.53155,165.774,-1.0750875,0.524675,18.402,863.825,-1.79425,0.96428435
0.8678800000000001,0.79402,0.59287,166.7375,1.341635,0.03193750000000001,1.269705,0.03818,1.394765,0.19452999999999998,0.14786500000000002,0.00807525,1.56525,198.64600000000002,-1.2485625,0.7308749999999999,15.838799999999999,693.725,-1.37155,0.97665015
0.25468,0.86462,0.50585,190.1625,1.356875,-0.2469125,1.275565,0.3411,1.417765,0.20165,0.11969500000000001,0.00852675,2.2487500000000002,191.18200000000002,-1.2110875,0.303325,13.7692,3181.325,-1.98395,0.96579225
0.17044,0.57934,0.54191,156.7125,1.3958149999999998,-0.011157499999999987,1.3441850000000002,0.07006,1.366365,0.22209,0.108445,0.01014925,2.36415,193.938,-1.0529375,0.7631749999999999,12.2396,3346.925,-1.90125,0.97229645
0.5022000000000001,0.52594,0.49633,264.8375,1.225625,0.13125750000000003,1.323685,0.06058,1.434875,0.28835,0.198915,0.01116475,1.64075,165.326,-1.1478875,0.719875,14.0292,2835.275,-1.77495,0.9761265499999999
0.53668,0.62302,0.44313,234.83749999999998,1.135775,-0.07160749999999996,1.334365,0.14338,1.405555,0.20484999999999998,0.11629500000000001,0.01093275,2.14265,163.726,-1.0691625,0.700975,12.486,4715.825000000001,-1.3084500000000001,0.9768099499999999
0.8478000000000001,0.61754,0.49651,163.6375,1.311725,0.32521750000000005,1.266245,0.2897,1.448255,0.11467000000000001,0.174925,0.00983975,2.4888500000000002,168.362,-1.0318125,0.31177499999999997,14.7796,3057.125,-1.0810499999999998,0.96772685
0.8206800000000001,0.68774,0.43905,356.1625,1.2964849999999999,0.18455749999999999,1.334405,0.38306,1.393835,0.14459,0.15571500000000002,0.00862025,1.64115,168.946,-1.1184375,0.479425,14.798,2121.575,-1.23515,0.96898315
0.35716000000000003,0.70258,0.57509,323.4625,1.385735,0.26502749999999997,1.323825,0.35094000000000003,1.354475,0.23321,0.10465500000000001,0.00855675,1.77335,162.474,-1.0688374999999999,0.314425,18.392400000000002,4639.775000000001,-1.34455,0.97285405
