DRAIN,INFEXP,IDEPTH_m,ALB,ALBSN,RSSA,ths,ksat,CINTRL,FRINTLAI,GLMAX,CVPD,R5,T1,T2,PSICR,FXYLEM,MXKPL,MAXROOTDEPTH,BETAROOT
0.516375,0.8091250000000001,0.09888125,0.25317500000000004,0.50685,1395.632125,1.2000625,-0.369375,0.43578750000000005,0.1250525,0.00877875,2.15975,338.09375000000006,14.56625,29.095625000000002,-1.28825,0.36717500000000003,1.424125,-0.9854375,0.8835062499999999
0.5068750000000001,0.8971250000000001,0.29395625000000003,0.116275,0.79595,957.924125,0.9604375,0.1751250000000001,0.2306875,0.09085250000000002,0.012310249999999998,2.31225,289.44375,7.19125,22.090625,-1.66075,0.21507500000000002,11.175374999999999,-1.9203125,0.90454375
0.8633750000000001,0.7831250000000001,0.29811875000000004,0.24957500000000002,0.5064500000000001,187.43812499999999,0.9634375000000001,-0.0276249999999999,0.5112125000000001,0.057597499999999996,0.0027132499999999995,1.24025,259.16875000000005,10.75375,30.453125,-2.24125,0.6349250000000002,13.727375,-0.7068124999999998,0.92374375
0.18637499999999999,0.475375,0.47148125,0.180225,0.63165,902.4611250000002,1.0190625,-0.5766249999999999,0.5591625000000001,0.0250625,0.01282825,2.46525,331.35625,9.06625,25.191875,-1.08625,0.49542500000000006,24.210875,-1.3435625,0.93431875
0.6621250000000001,0.453625,0.08481875,0.237625,0.47795000000000004,715.086125,1.1486875,-0.528125,0.41443749999999996,0.16105250000000002,0.011116750000000002,1.29775,65.26875,9.436250000000001,34.360625,-1.6957499999999999,0.22692500000000002,13.807125,-0.5950625,0.93011875
0.6003750000000001,0.969875,0.13454375000000002,0.10422500000000001,0.58175,507.849375,0.8604375000000001,-0.608125,0.24941249999999998,0.12280250000000004,0.01058475,1.67625,76.64375,8.92375,34.263125,-1.2017499999999999,0.6383750000000001,19.665125,-1.5674375,0.97766875
0.378375,0.600125,0.22690625000000003,0.225475,0.63075,444.891375,0.9801875,-0.06912499999999999,0.15141249999999998,0.0331625,0.01055675,2.69475,361.89375,13.273750000000001,31.191875000000003,-2.70575,0.628325,16.837625000000003,-1.7039374999999999,0.93915625
0.6951250000000001,0.20862499999999998,0.18876874999999999,0.165675,0.7681500000000001,159.331875,1.2658125,0.08487500000000003,0.4742875,0.0692075,0.00637775,1.84925,333.10625,8.56625,26.748125,-2.23475,0.675575,17.519125000000003,-1.5614375,0.85774375
0.477125,0.113875,0.11159375,0.171875,0.7420500000000001,520.9656249999999,0.9088125,-0.011374999999999913,0.2186125,0.14458250000000003,0.00927575,1.23925,341.24375000000003,9.31875,21.149375,-1.75775,0.47217500000000007,19.831875,-1.6506875,0.96244375
0.5723750000000001,0.7233750000000001,0.28596875000000005,0.19492500000000001,0.41185000000000005,561.813375,0.9479375000000001,0.1416250000000001,0.7280375,0.09332750000000001,0.004960249999999999,1.93675,256.54375000000005,9.85875,27.239375,-2.91425,0.618125,6.680375,-1.5513125,0.91106875
