DRAIN,INFEXP,IDEPTH_m,ALB,RSSA,ths,ksat,CINTRL,FRINTLAI,GLMAX,CVPD,R5,T1,T2,PSICR,FXYLEM,MXKPL,MXRTLN,MAXROOTDEPTH,BETAROOT
0.9691000000000001,0.39762,0.39446000000000003,0.23557499999999998,1047.3673000000001,1.1559599999999999,-0.197675,0.29759,0.14409500000000003,0.0125475,2.6846,250.165,12.495000000000001,33.3935,-1.48789,0.37034999999999996,13.274000000000001,3725.75,-1.7926000000000002,0.998185
0.4807,0.34314,0.6957800000000001,0.180705,812.6031,1.13356,-0.09900499999999998,0.61609,0.15597500000000003,0.0080075,2.0502000000000002,148.735,6.307,22.8065,-1.19879,0.34445,23.05,2846.85,-1.61884,0.9713649999999999
0.6439,0.49734,0.6017000000000001,0.248085,425.3261,1.20852,0.24692500000000006,0.62869,0.17916500000000002,0.0287575,1.447,356.495,14.563,32.3315,-1.08497,0.51105,20.662,1575.25,-2.1142000000000003,0.984855
0.1863,0.8543400000000001,0.25814000000000004,0.16819499999999998,448.1071,1.18076,0.258625,0.30123,0.170825,0.0229825,1.931,98.61500000000001,9.585,31.6535,-1.42615,0.6474500000000001,13.658,4979.75,-1.7659600000000002,0.966345
0.6785,0.5490600000000001,0.31970000000000004,0.286605,329.4061,1.17532,0.15267500000000006,0.63695,0.06471500000000001,0.0270475,1.9858,224.19500000000002,12.541,30.741500000000002,-1.47655,0.70695,23.714000000000002,5896.05,-1.8787600000000002,0.997495
0.2493,0.54318,0.5877800000000001,0.226665,834.9045,1.31852,0.17568500000000004,0.70947,0.07350500000000001,0.0165575,1.7322,257.375,11.045,26.2835,-1.26235,0.58155,12.194,4389.05,-1.54444,0.9643649999999999
0.07350000000000001,0.5772600000000001,0.23774,0.186225,989.0959,1.21556,-0.022565,0.44808999999999993,0.099275,0.028317500000000002,2.6698,107.08500000000001,7.253,24.4835,-1.0309300000000001,0.68555,8.565999999999999,1103.35,-2.02108,0.976205
0.4041,0.61626,0.48758000000000007,0.251475,327.00809999999996,1.35452,0.08442500000000008,0.17326999999999998,0.127895,0.018792499999999997,1.6074000000000002,361.39500000000004,7.727,24.258499999999998,-0.95421,0.46855,12.394,5560.55,-1.29676,0.998055
0.1893,0.47706000000000004,0.32174,0.22900500000000001,967.5139,1.3309199999999999,0.33155500000000004,0.50871,0.19470500000000002,0.015802499999999997,1.7429999999999999,157.34500000000003,6.791,20.0255,-0.85691,0.38825,6.994,5392.25,-1.35244,0.9704849999999999
0.9919,0.39462,0.46622,0.216495,580.7165,1.0374,0.25810500000000003,0.05889,0.105245,0.012987499999999999,1.3437999999999999,247.01500000000001,13.715,27.6935,-1.44085,0.6911499999999999,19.47,3676.25,-1.38124,0.977285
0.7457,0.83826,0.23558,0.243915,1003.7237,1.173,0.3800450000000001,0.27155,0.15432500000000002,0.0184425,2.1738,62.985,5.641,26.2775,-1.28629,0.61515,22.118,3166.95,-1.8163600000000002,0.971645
0.7561,0.72438,0.2831,0.15376499999999999,513.8123,1.33588,0.27695499999999995,0.66257,0.17250500000000002,0.021292500000000002,1.1018000000000001,340.325,11.695,31.191499999999998,-1.06901,0.34335,22.686,3045.9500000000003,-1.2694,0.979205
0.1271,0.33582,0.21830000000000002,0.165555,1180.6961,1.06284,-0.12695499999999998,0.38117,0.11169500000000002,0.0193425,1.1138,230.70499999999998,13.719,32.1605,-0.98865,0.47705,5.35,5702.450000000001,-1.38436,0.964445
0.6257,0.46974000000000005,0.5744600000000001,0.17563499999999999,415.0147,1.145,0.21065500000000004,0.14933,0.070205,0.0172025,1.2118,310.715,12.149000000000001,30.4325,-1.49475,0.67155,21.274,5342.75,-1.5048400000000002,0.971865
0.9083,0.37158,0.21542,0.260385,460.3369,1.04124,0.138115,0.6699900000000001,0.06825500000000001,0.021392500000000002,1.5966,198.715,10.449000000000002,27.9875,-1.39633,0.59455,13.974,5547.35,-1.627,0.9790949999999999
0.2379,0.8889,0.51158,0.230325,1148.3231,1.04828,0.193625,0.5502900000000001,0.07680500000000001,0.0163625,1.4294,330.595,10.335,30.450499999999998,-0.8135100000000001,0.5398499999999999,12.938,5559.450000000001,-1.6318000000000001,0.999095
0.2449,0.38238,0.4025000000000001,0.195465,545.7057000000001,1.17444,-0.021265000000000006,0.19846999999999998,0.12750500000000003,0.0163475,1.241,362.02500000000003,11.765,20.7485,-0.8450099999999999,0.68415,7.682,2349.6499999999996,-1.15324,0.9819249999999999
0.41910000000000003,0.49770000000000003,0.6931400000000001,0.179055,761.5256999999999,1.2702,0.39356500000000005,0.56317,0.169445,0.0285275,2.4134,232.45499999999998,9.545,27.0875,-0.86307,0.56445,24.502000000000002,1310.15,-2.1053200000000003,0.952135
0.8581000000000001,0.62826,0.7343000000000002,0.164655,418.1321,1.09428,0.287355,0.15773,0.130145,0.0180525,2.6630000000000003,218.38500000000002,11.795,25.8005,-1.44981,0.73715,9.686,2063.65,-1.1954799999999999,0.9753649999999999
0.5877,0.45954000000000006,0.4323800000000001,0.232845,362.25870000000003,1.399,-0.03608499999999998,0.44431,0.14394500000000002,0.008952499999999999,2.8942,67.885,8.121,29.6975,-0.92271,0.67475,16.654,1521.35,-1.9754800000000001,0.983495
0.9803000000000001,0.52542,0.5538200000000001,0.22336499999999998,596.5433,1.31372,0.19687500000000002,0.35092999999999996,0.053405,0.0190775,2.1870000000000003,183.73499999999999,9.403,31.2185,-1.36931,0.31235,6.93,2619.15,-1.63828,0.982545
0.0425,0.64266,0.3059,0.174345,302.30870000000004,1.2762,0.059075000000000044,0.09389,0.14622500000000002,0.0109175,1.057,141.805,8.321,25.6415,-1.07069,0.71105,7.478,1240.85,-1.9375600000000002,0.9877049999999999
0.9941,0.75186,0.58406,0.161325,31.5745,1.14108,-0.203655,0.51571,0.08502500000000002,0.017197499999999998,2.8106,143.625,6.877,20.1125,-1.0330300000000001,0.41805,14.478,2854.55,-1.62436,0.982645
0.00030000000000000003,0.5835000000000001,0.7740200000000002,0.160875,382.4019,1.1166,-0.021004999999999996,0.52761,0.08838500000000002,0.0067475,2.863,302.66499999999996,10.753,32.7965,-1.36007,0.35475,7.234,2711.55,-1.60468,0.963745
0.4305,0.7479,0.6803000000000001,0.270015,900.8495,1.26556,0.33233500000000005,0.7290700000000001,0.17079500000000003,0.0166225,2.317,236.585,8.051,28.7825,-1.01721,0.72865,23.138,1449.85,-1.0829199999999999,0.972305
0.8779,0.63882,0.7136600000000002,0.205725,157.2297,1.28876,0.36002500000000004,0.66187,0.18090500000000004,0.0163125,1.2694,292.095,11.609,34.8035,-1.37253,0.77485,6.43,4732.25,-1.93012,0.9578249999999999
0.1403,0.55266,0.25154000000000004,0.200205,534.9147,1.33004,-0.03296499999999997,0.30080999999999997,0.052205,0.0240525,2.7774,255.555,14.783000000000001,24.0005,-0.90871,0.48295,9.59,3518.9500000000003,-1.06948,0.974845
0.2853,0.5832600000000001,0.6177800000000001,0.181995,941.3757,1.07036,0.398115,0.41350999999999993,0.10242500000000002,0.016122499999999998,2.4718,375.045,6.395,21.8555,-1.14153,0.72305,18.734,2532.25,-1.9524400000000002,0.975115
0.5911000000000001,0.7893000000000001,0.38978,0.198645,730.5915,1.15764,0.3990250000000001,0.39264999999999994,0.074825,0.0079275,1.1498,335.985,12.909,29.4035,-1.48663,0.5559499999999999,18.102,3903.95,-1.8658000000000001,0.979965
